urbanName,Richness
Suburban,30
Developed,3
Dense,22
Dense,1
Developed,22
Developed,15
Dense,19
Dense,16
Dense,19
Suburban,8
Suburban,20
Suburban,25
Suburban,8
Developed,20
Dense,8
Natural,15
Suburban,14
Suburban,18
Dense,8
Dense,8
Dense,12
Suburban,24
Dense,25
Developed,16
Dense,21
Developed,38
Developed,29
Dense,21
Developed,12
Dense,0
Developed,5
Suburban,15
Dense,25
Suburban,19
Suburban,19
Natural,21
Natural,41
Dense,15
Dense,12
Developed,16
Developed,21
Suburban,21
Suburban,43
Dense,16
Suburban,12
Suburban,9
Suburban,26
Dense,2
Suburban,24
Suburban,41
Dense,28
Dense,31
Developed,28
Dense,23
Developed,35
Developed,30
Dense,34
Dense,34
Developed,8
Suburban,40
Suburban,29
Suburban,34
Suburban,29
Suburban,32
Suburban,34
Natural,38
Suburban,29
Developed,26
Suburban,41
Suburban,5
Dense,28
Dense,24
Dense,45
Suburban,28
Developed,8
Developed,25
Developed,27
Dense,23
Dense,13
Dense,4
Dense,2
Dense,41
Dense,25
Dense,43
Developed,48
Developed,53
Suburban,37
Natural,44
Suburban,51
Suburban,37
Dense,36
Suburban,37
Suburban,34
Developed,49
Developed,25
Suburban,24
Suburban,16
Dense,38
Dense,22
Dense,26
Dense,11
Developed,32
Developed,29
Suburban,35
Suburban,42
Developed,14
Developed,4
Dense,29
Dense,12
Developed,45
Developed,24
Dense,39
Dense,2
Developed,15
Suburban,31
Dense,32
Suburban,25
Suburban,19
Suburban,26
Suburban,22
Natural,43
Natural,48
Suburban,12
Suburban,37
Suburban,27
Suburban,43
Suburban,40
Dense,32
Developed,19
Dense,17
Suburban,44
Developed,12
Dense,19
Dense,36
Dense,9
Developed,18
Developed,5
Developed,29
Dense,3
Dense,40
Dense,35
Developed,45
Developed,38
Suburban,28
Suburban,25
Suburban,30
Suburban,11
Natural,28
Dense,13
Suburban,20
Suburban,22
Suburban,22
Dense,17
Dense,11
Suburban,26
Suburban,24
Developed,25
Developed,30
Developed,8
Developed,7
Developed,7
Developed,24
Developed,7
Dense,19
Dense,16
Dense,21
Dense,15
Dense,4
Dense,3
Dense,34
Developed,38
Suburban,15
Dense,13
Suburban,5
Natural,39
Suburban,29
Suburban,22
Suburban,9
Suburban,20
Suburban,14
Suburban,15
Suburban,28
Suburban,31
Dense,29
Dense,24
Dense,6
Dense,21
Developed,0
Suburban,12
Developed,20
Dense,3
Dense,23
Dense,19
Developed,20
Developed,9
Developed,29
Developed,21
Dense,13
Suburban,15
Suburban,11
Natural,33
Natural,20
Suburban,4
Suburban,5
Suburban,24
Suburban,20
Suburban,34
Dense,22
Dense,20
Suburban,25
Dense,1
Developed,21
Developed,24
Suburban,13
Developed,15
Developed,6
Developed,12
Developed,11
Developed,23
Dense,16
Dense,12
Dense,16
Dense,9
Dense,19
Dense,12
Developed,14
Dense,37
Dense,29
Dense,37
Suburban,28
Natural,19
Suburban,20
Suburban,5
Suburban,14
Suburban,9
Suburban,23
Dense,26
Dense,20
Suburban,10
Developed,17
