density,block,fertilizer,yield
low,1,ctrl,177.2286923
high,2,ctrl,177.5500413
low,3,ctrl,176.4084619
high,4,ctrl,177.7036255
low,1,ctrl,177.1254863
high,2,ctrl,176.7783425
low,3,ctrl,176.7463019
high,4,ctrl,177.0611642
low,1,ctrl,176.2749493
high,2,ctrl,177.9672029
low,3,ctrl,176.6012998
high,4,ctrl,177.0305428
low,1,ctrl,177.4795072
high,2,ctrl,176.8741298
low,3,ctrl,176.1143883
high,4,ctrl,176.0083945
low,1,ctrl,176.1083126
high,2,ctrl,178.3574409
low,3,ctrl,177.2624451
high,4,ctrl,176.9188449
low,1,ctrl,176.2390158
high,2,ctrl,176.5730698
low,3,ctrl,176.0392979
high,4,ctrl,176.8179222
low,1,ctrl,176.1605865
high,2,ctrl,177.2264241
low,3,ctrl,175.938533
high,4,ctrl,177.1649367
low,1,ctrl,175.3608396
high,2,ctrl,177.2769957
low,3,ctrl,175.9454438
high,4,ctrl,175.8827796
low,1,trt_1,176.4793409
high,2,trt_1,176.0443421
low,3,trt_1,177.4124617
high,4,trt_1,177.3608182
low,1,trt_1,177.3854992
high,2,trt_1,176.9758077
low,3,trt_1,177.3797787
high,4,trt_1,177.9979951
low,1,trt_1,176.4348626
high,2,trt_1,176.9332651
low,3,trt_1,175.9834802
high,4,trt_1,177.0340927
low,1,trt_1,176.4367624
high,2,trt_1,176.067745
low,3,trt_1,177.1210486
high,4,trt_1,177.1977214
low,1,trt_1,176.6037241
high,2,trt_1,177.2081714
low,3,trt_1,177.1488286
high,4,trt_1,176.8190767
low,1,trt_1,176.9990669
high,2,trt_1,178.1346046
low,3,trt_1,176.429156
high,4,trt_1,176.6683229
low,1,trt_1,176.8958669
high,2,trt_1,177.7794929
low,3,trt_1,176.414495
high,4,trt_1,176.8788977
low,1,trt_1,177.5806831
high,2,trt_1,176.9572689
low,3,trt_1,175.7475456
high,4,trt_1,177.3525951
low,1,trt_2,177.1041864
high,2,trt_2,178.0796352
low,3,trt_2,176.9034221
high,4,trt_2,177.5402842
low,1,trt_2,177.0327097
high,2,trt_2,178.2860419
low,3,trt_2,176.4054102
high,4,trt_2,176.4308301
low,1,trt_2,177.3963306
high,2,trt_2,176.9255758
low,3,trt_2,177.0550458
high,4,trt_2,177.3441639
low,1,trt_2,177.1283675
high,2,trt_2,177.1683022
low,3,trt_2,176.3539406
high,4,trt_2,179.060899
low,1,trt_2,176.3005171
high,2,trt_2,177.5933524
low,3,trt_2,177.1152452
high,4,trt_2,177.7944574
low,1,trt_2,177.0040381
high,2,trt_2,178.0368584
low,3,trt_2,177.7013663
high,4,trt_2,177.6328083
low,1,trt_2,177.6522746
high,2,trt_2,177.1004179
low,3,trt_2,177.187967
high,4,trt_2,177.4052919
low,1,trt_2,178.1416444
high,2,trt_2,177.7106125
low,3,trt_2,177.6872644
high,4,trt_2,177.118176
