Year,Mean_Dec_May_snow_depth
1954,13.83870968
1955,24.03311258
1956,31.44736842
1957,19.90728477
1958,39.31788079
1959,44.60927152
1960,43.11842105
1961,30.2781457
1962,41.87417219
1963,43.11258278
1964,28.67768595
1965,37.10596026
1966,54.29801325
1967,41.65562914
1968,60.85526316
1969,92.60264901
1970,63.66225166
1971,72.09933775
1972,63.51315789
1973,59.19205298
1974,39.29139073
1975,62.68874172
1976,55.42975207
1977,67.19205298
1978,73.7218543
1979,55.55629139
1980,35.72368421
1981,52.90066225
1982,75.92715232
1983,36.74834437
1984,60.39473684
1985,51.02649007
1986,47.7615894
1987,57.05960265
1988,47.18421053
1989,57.1589404
1990,43.02649007
1991,32.05298013
1992,43.11842105
1993,45.00662252
1994,56.06622517
1995,37.27152318
1996,65.43421053
1997,59.48344371
1998,57.67549669
1999,50.90066225
2000,55.05925926
2001,69.72992701
2002,49.58041958
2003,65
2004,65.75657895
2005,48.31756757
2006,45.37583893
2007,56.54794521
2008,68.09271523
2009,60.42758621
2010,56.45578231
2011,54.31292517
2012,36.28187919
2013,50.06756757
2014,46.56375839
